input_fn, RMSE_avgs,MSE_avgs,steps,batch_fractions,reg_types,reg_params,timings
100000,3018.3391087826021,9268741.4710237645,0.01,0.51,,0,73.01816415786743
100000,2948.675372402568,8860138.5895512197,0.04,0.01,,0,61.16261410713196
100000,2948.7610437733524,8860217.5985375959,0.04,0.26,,0,68.0624430179596
100000,2948.8479896653471,8860752.6864143517,0.04,0.51,,0,71.20815515518188
100000,2925.8059524869909,8727273.8562910296,0.07,0.01,,0,59.97738194465637
100000,2925.769680977633,8726747.0435185693,0.07,0.26,,0,66.80515909194946
100000,2925.8445431468076,8727196.9773083795,0.07,0.51,,0,70.73267197608948
500000,3901.960249113331,19705588.383005571,0.01,0.01,,0,250.22124218940735
500000,3902.0571716044506,19706256.269235875,0.01,0.26,,0,258.4931089878082
500000,3902.0540252382466,19706300.055779573,0.01,0.51,,0,276.34211015701294
500000,3839.939210922108,19282118.59091156,0.04,0.01,,0,219.74631118774414
500000,3840.1209864697062,19283360.610773455,0.04,0.26,,0,254.9651801586151
500000,3840.1114750935399,19283422.504513729,0.04,0.51,,0,276.7481949329376
500000,3819.5416435519278,19143948.37296756,0.07,0.01,,0,222.02999901771545
500000,3819.6901071298889,19144978.244246427,0.07,0.26,,0,254.96345281600952
500000,3819.6801746817682,19145021.060492121,0.07,0.51,,0,296.1540551185608
50000,3116.5828882154292,10031948.169046797,0.01,0.01,,0,63.32388782501221
50000,3116.8075255201825,10032778.554492956,0.01,0.26,,0,49.4116690158844
50000,3116.8262963751645,10032936.533830414,0.01,0.51,,0,49.66825795173645
50000,3047.257424937312,9617471.5927657038,0.04,0.01,,0,43.62165403366089
50000,3047.5663681739256,9618405.2344520781,0.04,0.26,,0,46.19023394584656
50000,3047.6142699165366,9618746.4009160753,0.04,0.51,,0,48.09475302696228
50000,3024.954919825278,9484496.7005207874,0.07,0.01,,0,41.52060103416443
50000,3024.7754408475912,9482854.5267680902,0.07,0.26,,0,44.58240103721619
50000,3024.8243898010774,9483173.3393767364,0.07,0.51,,0,47.90596103668213
100000,3018.1824357878504,9268032.0746890064,0.01,0.01,,0,82.44946908950806
100000,3018.2951908375976,9268459.7725450508,0.01,0.26,,0,73.10019183158875
100000,3018.3391087826021,9268741.4710237645,0.01,0.51,,0,76.78460812568665
100000,2948.675372402568,8860138.5895512197,0.04,0.01,,0,62.902690172195435
100000,2948.7610437733524,8860217.5985375959,0.04,0.26,,0,70.84497904777527
100000,2948.8479896653471,8860752.6864143517,0.04,0.51,,0,74.54627895355225
100000,2925.8059524869909,8727273.8562910296,0.07,0.01,,0,62.382718086242676
100000,2925.769680977633,8726747.0435185693,0.07,0.26,,0,70.46044707298279
100000,2925.8445431468076,8727196.9773083795,0.07,0.51,,0,73.57441997528076
500000,3901.960249113331,19705588.383005571,0.01,0.01,,0,261.55279898643494
500000,3902.0571716044506,19706256.269235875,0.01,0.26,,0,268.0010828971863
500000,3902.0540252382466,19706300.055779573,0.01,0.51,,0,290.46174907684326
500000,3839.939210922108,19282118.59091156,0.04,0.01,,0,230.27391910552979
500000,3840.1209864697062,19283360.610773455,0.04,0.26,,0,266.8868281841278
500000,3840.1114750935399,19283422.504513729,0.04,0.51,,0,285.3986699581146
500000,3819.5416435519278,19143948.37296756,0.07,0.01,,0,232.1622269153595
500000,3819.6901071298889,19144978.244246427,0.07,0.26,,0,267.1382019519806
500000,3819.6801746817682,19145021.060492121,0.07,0.51,,0,287.68340015411377
1000000,5385.4915459164813,42336643.755705275,0.01,0.01,,0,507.82909893989563
1000000,5385.4255273762064,42336538.000000633,0.01,0.26,,0,536.2237040996552
1000000,5385.4206658749627,42336534.347055987,0.01,0.51,,0,572.207985162735
1000000,5332.3121033055068,41903278.020391636,0.04,0.01,,0,450.58362793922424
1000000,5332.2359941310769,41903402.336425252,0.04,0.26,,0,511.5802729129791
1000000,5332.224998486864,41903375.542122081,0.04,0.51,,0,560.3948769569397
1000000,5314.8325176538774,41761358.760426506,0.07,0.01,,0,443.72393012046814
1000000,5314.8017721041224,41761679.84181039,0.07,0.26,,0,517.6706779003143
1000000,5314.7917937607281,41761646.944749318,0.07,0.51,,0,559.1336059570312
1000000,5385.4915459164813,42336643.755705275,0.01,0.01,,0,495.05001306533813
1000000,5385.4255273762064,42336538.000000633,0.01,0.26,,0,516.102401971817
1000000,5385.4206658749627,42336534.347055987,0.01,0.51,,0,543.7253360748291
1000000,5332.3121033055068,41903278.020391636,0.04,0.01,,0,433.20934987068176
1000000,5332.2359941310769,41903402.336425252,0.04,0.26,,0,499.22827100753784
1000000,5332.224998486864,41903375.542122081,0.04,0.51,,0,544.186774969101
1000000,5314.8325176538774,41761358.760426506,0.07,0.01,,0,428.32094502449036
1000000,5314.8017721041224,41761679.84181039,0.07,0.26,,0,501.5057899951935
1000000,5314.7917937607281,41761646.944749318,0.07,0.51,,0,542.5965571403503
50000,3116.5828882154292,10031948.169046797,0.01,0.01,,0,64.52781414985657
50000,3116.8075255201825,10032778.554492956,0.01,0.26,,0,51.253350019454956
50000,3116.8262963751645,10032936.533830414,0.01,0.51,,0,50.190940856933594
50000,3047.257424937312,9617471.5927657038,0.04,0.01,,0,44.79288697242737
50000,3047.5663681739256,9618405.2344520781,0.04,0.26,,0,47.717249155044556
50000,3047.6142699165366,9618746.4009160753,0.04,0.51,,0,47.96689009666443
50000,3024.954919825278,9484496.7005207874,0.07,0.01,,0,42.42490100860596
50000,3024.7754408475912,9482854.5267680902,0.07,0.26,,0,47.4176869392395
50000,3024.8243898010774,9483173.3393767364,0.07,0.51,,0,47.73740911483765
100000,3018.1824357878504,9268032.0746890064,0.01,0.01,,0,80.79268407821655
100000,3018.2951908375976,9268459.7725450508,0.01,0.26,,0,73.4616448879242
100000,3018.3391087826021,9268741.4710237645,0.01,0.51,,0,73.95278000831604
100000,2948.675372402568,8860138.5895512197,0.04,0.01,,0,64.78310108184814
100000,2948.7610437733524,8860217.5985375959,0.04,0.26,,0,69.19499707221985
100000,2948.8479896653471,8860752.6864143517,0.04,0.51,,0,73.41808295249939
100000,2925.8059524869909,8727273.8562910296,0.07,0.01,,0,61.99241495132446
100000,2925.769680977633,8726747.0435185693,0.07,0.26,,0,69.43263006210327
100000,2925.8445431468076,8727196.9773083795,0.07,0.51,,0,72.8365089893341
500000,3901.960249113331,19705588.383005571,0.01,0.01,,0,263.3615400791168
500000,3902.0571716044506,19706256.269235875,0.01,0.26,,0,271.6955678462982
500000,3902.0540252382466,19706300.055779573,0.01,0.51,,0,287.05446195602417
500000,3839.939210922108,19282118.59091156,0.04,0.01,,0,234.90048718452454
500000,3840.1209864697062,19283360.610773455,0.04,0.26,,0,264.2347810268402
500000,3840.1114750935399,19283422.504513729,0.04,0.51,,0,283.8875551223755
500000,3819.5416435519278,19143948.37296756,0.07,0.01,,0,250.0783908367157
500000,3819.6901071298889,19144978.244246427,0.07,0.26,,0,280.41366696357727
500000,3819.6801746817682,19145021.060492121,0.07,0.51,,0,316.1703770160675
1000000,5385.4915459164813,42336643.755705275,0.01,0.01,,0,499.3338210582733
1000000,5385.4255273762064,42336538.000000633,0.01,0.26,,0,523.6685428619385
1000000,5385.4206658749627,42336534.347055987,0.01,0.51,,0,541.4389991760254
1000000,5332.3121033055068,41903278.020391636,0.04,0.01,,0,422.94618797302246
1000000,5332.2359941310769,41903402.336425252,0.04,0.26,,0,489.0641438961029
1000000,5332.224998486864,41903375.542122081,0.04,0.51,,0,560.9033110141754
1000000,5314.8325176538774,41761358.760426506,0.07,0.01,,0,452.02904510498047
1000000,5314.8017721041224,41761679.84181039,0.07,0.26,,0,521.473836183548
1000000,5314.7917937607281,41761646.944749318,0.07,0.51,,0,571.2282650470734
50000,3116.5828882154292,10031948.169046797,0.01,0.01,,0,61.80586504936218
50000,3116.8075255201825,10032778.554492956,0.01,0.26,,0,50.08695697784424
50000,3116.8262963751645,10032936.533830414,0.01,0.51,,0,50.03516101837158
50000,3047.257424937312,9617471.5927657038,0.04,0.01,,0,44.112448930740356
50000,3047.5663681739256,9618405.2344520781,0.04,0.26,,0,46.49193000793457
50000,3047.6142699165366,9618746.4009160753,0.04,0.51,,0,51.00705599784851
50000,3024.954919825278,9484496.7005207874,0.07,0.01,,0,44.784777879714966
50000,3024.7754408475912,9482854.5267680902,0.07,0.26,,0,47.74446988105774
50000,3024.8243898010774,9483173.3393767364,0.07,0.51,,0,49.23393702507019
50000,3116.583365008596,10031951.053561386,0.01,0.01,l1,0.01,60.32929015159607
50000,3116.5857489890318,10031965.476229345,0.01,0.01,l1,0.06,46.13055896759033
50000,3116.5881329937974,10031979.899055604,0.01,0.01,l1,0.11,43.4315299987793
50000,3116.5905170229012,10031994.322040208,0.01,0.01,l1,0.16,44.28194785118103
50000,3116.5929010763352,10032008.745183116,0.01,0.01,l1,0.21,43.75878095626831
50000,3116.6205585910507,10032175.419309843,0.01,0.01,l2,0.01,42.16600704193115
50000,3116.8083328727212,10033308.228243422,0.01,0.01,l2,0.06,42.79497694969177
50000,3116.9951478281887,10034435.319250219,0.01,0.01,l2,0.11,43.30267000198364
50000,3117.1810079979723,10035556.718720624,0.01,0.01,l2,0.16,41.893150091171265
50000,3117.3659179141409,10036672.453004206,0.01,0.01,l2,0.21,42.840735912323
50000,3116.8650413483365,10033299.090943381,0.01,0.04,l1,0.01,43.0721960067749
50000,3116.8674283269038,10033313.529449631,0.01,0.04,l1,0.06,41.26662802696228
50000,3116.8698153297933,10033327.968114207,0.01,0.04,l1,0.11,43.1434121131897
50000,3116.872202357004,10033342.406937098,0.01,0.04,l1,0.16,42.848134994506836
50000,3116.8745894085368,10033356.845918311,0.01,0.04,l1,0.21,41.09741497039795
50000,3116.9018195485673,10033521.238877922,0.01,0.04,l2,0.01,42.18084907531738
50000,3117.0875289042665,10034643.021941319,0.01,0.04,l2,0.06,42.905781984329224
50000,3117.2722938589413,10035759.16574811,0.01,0.04,l2,0.11,41.57176208496094
50000,3117.4561188803582,10036869.696325818,0.01,0.04,l2,0.16,42.37613105773926
50000,3117.6390084275927,10037974.639659597,0.01,0.04,l2,0.21,41.628156900405884
50000,3116.848469088327,10033029.616598258,0.01,0.07,l1,0.01,45.67045497894287
50000,3116.8508559000752,10033044.052406427,0.01,0.07,l1,0.06,44.8184289932251
50000,3116.8532427361451,10033058.488372926,0.01,0.07,l1,0.11,42.630255937576294
50000,3116.8556295965377,10033072.924497757,0.01,0.07,l1,0.16,44.30184602737427
50000,3116.8580164812474,10033087.360780885,0.01,0.07,l1,0.21,43.825000047683716
50000,3116.8853225272501,10033252.40983443,0.01,0.07,l2,0.01,41.94709897041321
50000,3117.0714062073112,10034377.40371839,0.01,0.07,l2,0.06,43.142699003219604
50000,3117.2565426592691,10035496.736763645,0.01,0.07,l2,0.11,43.54434299468994
50000,3117.4407363646237,10036610.435089478,0.01,0.07,l2,0.16,42.24848294258118
50000,3117.6239917962093,10037718.52477322,0.01,0.07,l2,0.21,41.152961015701294
50000,3116.781758318014,10032815.799338236,0.01,0.1,l1,0.01,40.634522914886475
50000,3116.7841444109995,10032830.232357945,0.01,0.1,l1,0.06,40.617796897888184
50000,3116.7865305283103,10032844.665535985,0.01,0.1,l1,0.11,40.75721287727356
50000,3116.788916669947,10032859.098872352,0.01,0.1,l1,0.16,42.428452014923096
50000,3116.7913028359085,10032873.532367043,0.01,0.1,l1,0.21,44.11326313018799
50000,3116.8187235340988,10033039.047428755,0.01,0.1,l2,0.01,44.992453813552856
50000,3117.0053623467466,10034166.299221018,0.01,0.1,l2,0.06,44.603477001190186
50000,3117.1910488983203,10035287.867663611,0.01,0.1,l2,0.11,42.720958948135376
50000,3117.375787703701,10036403.779031517,0.01,0.1,l2,0.16,42.54713821411133
50000,3117.5595832690638,10037514.059557501,0.01,0.1,l2,0.21,43.36771011352539
50000,3116.7174182074536,10032249.780293668,0.01,0.13,l1,0.01,43.51653480529785
50000,3116.7198036566197,10032264.207379861,0.01,0.13,l1,0.06,44.24122190475464
50000,3116.7221891301115,10032278.634624392,0.01,0.13,l1,0.11,42.57285809516907
50000,3116.7245746279259,10032293.06202722,0.01,0.13,l1,0.16,43.4295551776886
50000,3116.7269601500661,10032307.48958838,0.01,0.13,l1,0.21,43.18529200553894
50000,3116.7544380054906,10032473.470223358,0.01,0.13,l2,0.01,43.00631904602051
50000,3116.9413491585606,10033602.923509438,0.01,0.13,l2,0.06,43.33683395385742
50000,3117.1273081636746,10034726.690445943,0.01,0.13,l2,0.11,43.817065954208374
50000,3117.3123195208086,10035844.797237057,0.01,0.13,l2,0.16,43.19047713279724
50000,3117.4963877214218,10036957.270045945,0.01,0.13,l2,0.21,45.80748701095581
50000,3116.8171248825684,10032816.995181197,0.01,0.16,l1,0.01,45.33795404434204
50000,3116.8195113675783,10032831.428641833,0.01,0.16,l1,0.06,43.77082395553589
50000,3116.8218978769114,10032845.862260798,0.01,0.16,l1,0.11,44.99751281738281
50000,3116.8242844105653,10032860.296038087,0.01,0.16,l1,0.16,45.069580078125
50000,3116.8266709685404,10032874.729973689,0.01,0.16,l1,0.21,43.56858587265015
50000,3116.8540068270831,10033039.906878483,0.01,0.16,l2,0.01,44.007266998291016
50000,3117.0402321159363,10034165.488821389,0.01,0.16,l2,0.06,44.0445659160614
50000,3117.225509193956,10035285.406771375,0.01,0.16,l2,0.11,42.65657591819763
50000,3117.4098425490074,10036399.686862839,0.01,0.16,l2,0.16,43.92461395263672
50000,3117.5932366602747,10037508.355188247,0.01,0.16,l2,0.21,44.9102988243103
50000,3116.7553198249443,10032417.325225253,0.01,0.19,l1,0.01,43.422122955322266
50000,3116.7577056794421,10032431.754335664,0.01,0.19,l1,0.06,44.86863994598389
50000,3116.7600915582634,10032446.183604408,0.01,0.19,l1,0.11,44.60928988456726
50000,3116.7624774614078,10032460.613031464,0.01,0.19,l1,0.16,43.151662826538086
50000,3116.7648633888734,10032475.042616835,0.01,0.19,l1,0.21,44.19521498680115
50000,3116.792250575892,10032640.621251509,0.01,0.19,l2,0.01,44.75698709487915
50000,3116.9787182325358,10033768.111672213,0.01,0.19,l2,0.06,43.47822308540344
50000,3117.1642359631537,10034889.923473075,0.01,0.19,l2,0.11,44.93916893005371
50000,3117.3488082663848,10036006.082880877,0.01,0.19,l2,0.16,44.82295298576355
50000,3117.5324396321785,10037116.616080392,0.01,0.19,l2,0.21,43.12215709686279
50000,3047.2583182246599,9617476.9091797471,0.04,0.01,l1,0.01,42.05643606185913
50000,3047.2627848137754,9617503.4921644162,0.04,0.01,l1,0.06,42.207345962524414
50000,3047.2672516568609,9617530.0766732227,0.04,0.01,l1,0.11,40.92472314834595
50000,3047.2717187539156,9617556.6627061684,0.04,0.01,l1,0.16,41.755934953689575
50000,3047.2761861049339,9617583.2502632327,0.04,0.01,l1,0.21,43.028249979019165
50000,3047.50062887699,9618916.9109363034,0.04,0.01,l2,0.01,40.11647891998291
50000,3048.7130936255153,9626122.42599448,0.04,0.01,l2,0.06,41.55077600479126
50000,3049.9190684664204,9633289.5868453272,0.04,0.01,l2,0.11,41.754525899887085
50000,3051.1178352897959,9640414.2859069034,0.04,0.01,l2,0.16,41.00715184211731
50000,3052.3087379496037,9647492.7641132027,0.04,0.01,l2,0.21,41.220836877822876
50000,3047.6464594832914,9619159.6946721859,0.04,0.04,l1,0.01,41.11197090148926
50000,3047.6509522328738,9619186.3915303573,0.04,0.04,l1,0.06,46.22340178489685
50000,3047.6554452362589,9619213.0899128579,0.04,0.04,l1,0.11,44.46411895751953
50000,3047.6599384934416,9619239.7898196764,0.04,0.04,l1,0.16,42.21495294570923
50000,3047.6644320044225,9619266.491250813,0.04,0.04,l1,0.21,42.70571684837341
50000,3047.887861127791,9620593.5413810797,0.04,0.04,l2,0.01,42.63806104660034
50000,3049.095683687191,9627767.9264822342,0.04,0.04,l2,0.06,42.64442300796509
50000,3050.2968335106998,9634903.2833006084,0.04,0.04,l2,0.11,42.02073001861572
50000,3051.4906214303819,9641995.6404990349,0.04,0.04,l2,0.16,42.91455602645874
50000,3052.6764178869262,9649041.3640051708,0.04,0.04,l2,0.21,42.19969582557678
50000,3047.6408216096902,9618851.1422156096,0.04,0.07,l1,0.01,43.260278940200806
50000,3047.6453151386709,9618877.8272418864,0.04,0.07,l1,0.06,43.36106610298157
50000,3047.6498089214006,9618904.5137923975,0.04,0.07,l1,0.11,42.168182134628296
50000,3047.6543029578761,9618931.2018671222,0.04,0.07,l1,0.16,42.685378074645996
50000,3047.6587972480984,9618957.8914660811,0.04,0.07,l1,0.21,43.34540581703186
50000,3047.882727065366,9620288.3935875837,0.04,0.07,l2,0.01,41.8439040184021
50000,3049.0930484677951,9627479.7808866967,0.04,0.07,l2,0.06,42.8728129863739
50000,3050.296660316556,9634632.1013717931,0.04,0.07,l2,0.11,44.03913116455078
50000,3051.4928711785669,9641741.3544578534,0.04,0.07,l2,0.16,41.35253095626831
50000,3052.6810495006016,9648803.8794107083,0.04,0.07,l2,0.21,42.52878212928772
50000,3047.5567417790871,9618656.3849778641,0.04,0.1,l1,0.01,42.88752722740173
50000,3047.5612290231411,9618683.0518416222,0.04,0.1,l1,0.06,42.1811580657959
50000,3047.5657165210132,9618709.7202296294,0.04,0.1,l1,0.11,43.23456406593323
50000,3047.5702042727016,9618736.3901418783,0.04,0.1,l1,0.16,44.08474397659302
50000,3047.5746922782105,9618763.0615784042,0.04,0.1,l1,0.21,42.75788402557373
50000,3047.7988381663486,9620094.5319005158,0.04,0.1,l2,0.01,42.9767849445343
50000,3049.0101288473898,9627290.39425743,0.04,0.1,l2,0.06,43.384881019592285
50000,3050.2147391766225,9634447.1966885086,0.04,0.1,l2,0.11,41.989583015441895
50000,3051.4119706185616,9641560.9150905423,0.04,0.1,l2,0.16,43.3669970035553
50000,3052.6011852078709,9648627.8678262345,0.04,0.1,l2,0.21,43.752840995788574
50000,3047.4386387597588,9617618.7533846237,0.04,0.13,l1,0.01,42.284438133239746
50000,3047.443120353626,9617645.3656802718,0.04,0.13,l1,0.06,43.399917125701904
50000,3047.4476022013018,9617671.9795001298,0.04,0.13,l1,0.11,45.19668698310852
50000,3047.4520843027904,9617698.5948442258,0.04,0.13,l1,0.16,44.64292812347412
50000,3047.4565666580843,9617725.211712528,0.04,0.13,l1,0.21,44.57801103591919
50000,3047.6809467493608,9619057.7591650449,0.04,0.13,l2,0.01,43.86169099807739
50000,3048.8933375429597,9626258.2372489385,0.04,0.13,l2,0.06,43.147045850753784
50000,3050.0991237155781,9633420.2517092917,0.04,0.13,l2,0.11,43.478878021240234
50000,3051.2976016350344,9640539.7385197431,0.04,0.13,l2,0.16,43.78536796569824
50000,3052.4881284351013,9647612.9779337291,0.04,0.13,l2,0.21,43.04568910598755
50000,3047.5838075416787,9618434.3974172175,0.04,0.16,l1,0.01,43.54367780685425
50000,3047.5882979852095,9618461.0590582322,0.04,0.16,l1,0.06,43.058552980422974
50000,3047.5927886824916,9618487.7222234458,0.04,0.16,l1,0.11,43.647029876708984
50000,3047.59727963353,9618514.3869128991,0.04,0.16,l1,0.16,43.770813941955566
50000,3047.6017708383188,9618541.0531265587,0.04,0.16,l1,0.21,44.17806100845337
50000,3047.8257263732448,9619871.2179469801,0.04,0.16,l2,0.01,43.77137899398804
50000,3049.0361269138407,9627060.5516437013,0.04,0.16,l2,0.06,47.542333126068115
50000,3050.2398418628427,9634211.0163730364,0.04,0.16,l2,0.11,44.563015937805176
50000,3051.4361777293288,9641318.6001526136,0.04,0.16,l2,0.16,43.44384694099426
50000,3052.6245010661987,9648379.6315794718,0.04,0.16,l2,0.21,44.60945391654968
50000,3047.4710177857405,9617751.8608845081,0.04,0.19,l1,0.01,43.85622715950012
50000,3047.4755015984056,9617778.4822411947,0.04,0.19,l1,0.06,46.18643403053284
50000,3047.479985664866,9617805.1051221415,0.04,0.19,l1,0.11,44.06964588165283
50000,3047.4844699851192,9617831.7295273431,0.04,0.19,l1,0.16,44.329607009887695
50000,3047.4889545591654,9617858.3554568049,0.04,0.19,l1,0.21,44.698747873306274
50000,3047.7128952829307,9619188.8480729666,0.04,0.19,l2,0.01,43.75461006164551
50000,3048.9231089504037,9626379.1028984394,0.04,0.19,l2,0.06,45.35295009613037
50000,3050.1266785589719,9633530.6852742173,0.04,0.19,l2,0.11,44.31898784637451
50000,3051.3229073858165,9640639.5615430418,0.04,0.19,l2,0.16,43.7777578830719
50000,3052.511158987737,9647702.0404218081,0.04,0.19,l2,0.21,45.997395038604736
50000,3024.9556893124777,9484501.3062373549,0.07,0.01,l1,0.01,41.21117186546326
50000,3024.9595370477746,9484524.336569827,0.07,0.01,l1,0.06,41.88495898246765
50000,3024.9633852819138,9484547.369818408,0.07,0.01,l1,0.11,41.92167901992798
50000,3024.9672340148873,9484570.405983068,0.07,0.01,l1,0.16,40.26857805252075
50000,3024.9710832466958,9484593.4450638257,0.07,0.01,l1,0.21,41.98770499229431
50000,3025.2551245668233,9486298.9422484171,0.07,0.01,l2,0.01,41.27947187423706
50000,3027.1041160373106,9497084.8917926662,0.07,0.01,l2,0.06,40.74434185028076
50000,3028.7879272977698,9506943.6111251414,0.07,0.01,l2,0.11,41.31931495666504
50000,3031.4426329965913,9522081.9107964374,0.07,0.01,l2,0.16,40.155635833740234
50000,3033.3955085246166,9533779.7594452016,0.07,0.01,l2,0.21,38.70441913604736
50000,3024.8344765782267,9483399.2088945787,0.07,0.04,l1,0.01,42.75069499015808
50000,3024.8383376460929,9483422.251566302,0.07,0.04,l1,0.06,42.16392922401428
50000,3024.842199218529,9483445.2971865721,0.07,0.04,l1,0.11,41.096856117248535
50000,3024.8460612955341,9483468.3457553945,0.07,0.04,l1,0.16,41.66148400306702
50000,3024.8499238771014,9483491.3972727414,0.07,0.04,l1,0.21,45.7231650352478
50000,3025.1347385270792,9485197.2900865041,0.07,0.04,l2,0.01,43.4679970741272
50000,3026.6677568977852,9494366.5402037837,0.07,0.04,l2,0.06,42.10961103439331
50000,3028.2789513651906,9503992.734421622,0.07,0.04,l2,0.11,43.70310401916504
50000,3029.9386315034226,9513883.1979379058,0.07,0.04,l2,0.16,42.9195020198822
50000,3031.8740675032759,9525258.8667299785,0.07,0.04,l2,0.21,41.23531413078308
50000,3024.8395656465927,9483242.629555596,0.07,0.07,l1,0.01,44.307305097579956
50000,3024.8434320059123,9483265.6742341239,0.07,0.07,l1,0.06,42.31753492355347
50000,3024.8472988696658,9483288.7218608037,0.07,0.07,l1,0.11,41.92565608024597
50000,3024.8511662378555,9483311.7724356651,0.07,0.07,l1,0.16,43.674103021621704
50000,3024.8550341104774,9483334.825958699,0.07,0.07,l1,0.21,42.71888303756714
50000,3025.1408708639838,9485045.8116818815,0.07,0.07,l2,0.01,42.18517589569092
50000,3026.679053602219,9494241.0296799727,0.07,0.07,l2,0.06,43.964587926864624
50000,3028.2569882443977,9503659.4757230058,0.07,0.07,l2,0.11,42.386462926864624
50000,3029.8664827751159,9513254.7007826287,0.07,0.07,l2,0.16,42.361732006073
50000,3031.5002215771651,9522985.1984451599,0.07,0.07,l2,0.21,42.90345811843872
50000,3024.8000086601382,9483213.8396131191,0.07,0.1,l1,0.01,42.68441390991211
50000,3024.8038644026446,9483236.8589184061,0.07,0.1,l1,0.06,43.05693197250366
50000,3024.8077206497046,9483259.8811720274,0.07,0.1,l1,0.11,44.169837951660156
50000,3024.8115774013104,9483282.9063739628,0.07,0.1,l1,0.16,43.30588698387146
50000,3024.8154346574647,9483305.9345242418,0.07,0.1,l1,0.21,43.63772487640381
50000,3025.100725010896,9485015.6854152083,0.07,0.1,l2,0.01,43.427181005477905
50000,3026.6362031708177,9494204.7951617297,0.07,0.1,l2,0.06,41.91735887527466
50000,3028.2118041287545,9503617.9810192641,0.07,0.1,l2,0.11,43.58257794380188
50000,3029.8192793442217,9513208.6149499826,0.07,0.1,l2,0.16,42.876996994018555
50000,3031.4512642705859,9522935.0397533383,0.07,0.1,l2,0.21,42.3399760723114
50000,3024.6988199766051,9482333.0988559965,0.07,0.13,l1,0.01,44.32151389122009
50000,3024.7026668715098,9482356.0214834381,0.07,0.13,l1,0.06,42.946523904800415
50000,3024.7065142709312,9482378.9470590558,0.07,0.13,l1,0.11,43.184816122055054
50000,3024.7103621748579,9482401.8755827956,0.07,0.13,l1,0.16,41.92950916290283
50000,3024.7142105832909,9482424.8070546798,0.07,0.13,l1,0.21,43.05341601371765
50000,3024.99953973229,9484131.8165674563,0.07,0.13,l2,0.01,45.00600504875183
50000,3026.5353054544703,9493307.5013092477,0.07,0.13,l2,0.06,41.855786085128784
50000,3028.1116247073633,9502710.8446862735,0.07,0.13,l2,0.11,44.53537201881409
50000,3029.7202040704565,9512294.8718723152,0.07,0.13,l2,0.16,42.089617013931274
50000,3031.3536373707479,9522017.6057317369,0.07,0.13,l2,0.21,42.694632053375244
50000,3024.7883974348233,9482850.8330671061,0.07,0.16,l1,0.01,43.533313035964966
50000,3024.7922580331237,9482873.8301070146,0.07,0.16,l1,0.06,42.529582023620605
50000,3024.7961191358709,9482896.8300951011,0.07,0.16,l1,0.11,43.41124200820923
50000,3024.7999807430615,9482919.8330313675,0.07,0.16,l1,0.16,41.94236207008362
50000,3024.8038428546943,9482942.8389158137,0.07,0.16,l1,0.21,44.2024450302124
50000,3025.0894002458799,9484650.8194096666,0.07,0.16,l2,0.01,41.64623999595642
50000,3026.6261845913764,9493830.8422795497,0.07,0.16,l2,0.06,43.87059497833252
